Property Reference,Property Description,Rateable Value,Account Name,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
22460000210109,WORKSHOP AND PREMISES,"£12,500.00",Elmer Gardens Ltd,16/04/2025,Unit 2 At Land Rear Of,2 High Street,Edgware,Middlesex,,HA8 7EF,16/04/2025,INDUSTRIAL
44280000200004,SHOP AND PREMISES,"£16,500.00",Epire Ltd,18/09/2025,2 Vivian Avenue,London,,,,NW4 3YA,11/03/2022,NONE
22400097510018,WORKSHOP CAR HIRE AND PREMISES,"£40,250.00",Europcar Group UK Limited,01/04/2003,975 High Road,London,,,,N12 9AJ,13/02/2023,NONE
24503000010105,OFFICES AND PREMISES,"£17,000.00",Executive Investment limited,17/12/2023,Suite 8.3 8th Flr,Hyde House,The Hyde,London,,NW9 6LH,17/12/2023,NONE
24503091410032,OFFICES AND PREMISES,"£15,750.00",Executive Investment Ltd,13/11/2024,Suite C 10th Fl Hyde House,The Hyde,London,,,NW9 6LH,14/05/2025,NONE
24503000010092,OFFICES AND PREMISES,"£15,750.00",Executive Investments Limited,01/12/2023,Suite 8.2 8th Flr,Hyde House,The Hyde,London,,NW9 6LH,01/12/2023,NONE
24503091410013,OFFICES AND PREMISES,"£26,750.00",Executive Investments Limited,05/12/2024,Suite A 10th Fl Hyde House,The Hyde,London,,,NW9 6LH,05/06/2025,NONE
40860019800017,SHOP AND PREMISES,"£22,750.00",Fayzano Ltd,14/10/2024,198 Station Road,Edgware,,,,HA8 7AR,21/11/2024,NONE
6080000010109,CAR PARKING SPACES AND PREMISES,"£2,400.00",FBW2022 Limited,24/01/2024,Parking For Unit 6,Granard Business Centre,Bunns Lane,London,,NW7 2DQ,24/01/2024,DE-MINIMUS RATEABLE VALUE
5900011510032,STORE SHOWROOM AND PREMISES,"£38,750.00",Fenzi Ltd,27/05/2025,Part,115 Brunswick Park Road,London,,,N11 1EA,27/05/2025,NONE
12820000210419,CAR PARKING SPACE AND PREMISES,"£3,000.00",Finchley Developments C & G Ltd,01/04/2025,Parking Spaces For 2nd Flr Rhs,Winston House,2 Dollis Park,London,,N3 1HG,01/04/2025,NONE
12820000210207,OFFICES AND PREMISES,"£12,000.00",Finchley Developments C & G Ltd,01/04/2017,Rooms 303-305 3rd Flr,Winston House,2 Dollis Park,London,,N3 1HG,01/04/2017,NONE
0116000001003B,CAR PARKING SPACE AND PREMISES,"£6,600.00",Finchley Gate Properties Limited,03/11/2024,Car Parking Spaces For,2nd Flr Gadd House,Arcadia Avenue,London,,N3 2JU,03/11/2024,NONE
1160000010025,OFFICES AND PREMISES,"£42,500.00",Finchley Gate Properties Limited,03/11/2024,2nd Flr,Gadd House,Arcadia Avenue,London,,N3 2JU,03/11/2024,NONE
2200001110057,CAR PARK AND PREMISES,"£3,850.00",Finchley Land Limited,24/06/2024,5 Parking Spaces,1st Flr Left Sovereign House,11-19 Ballards Lane,London,,N3 1UX,24/06/2024,NONE
2200001110042,OFFICES AND PREMISES,"£57,000.00",Finchley Land Limited,30/04/2025,1st Flr Left Sovereign House,11-19 Ballards Lane,London,,,N3 1UX,24/06/2024,NONE
18180012400016,SHOP AND PREMISES,"£25,750.00",Finlaw Thirty Two Ltd T/a Milk N Honey,01/04/2000,124 Golders Green Road,London,,,,NW11 8HB,01/04/2025,NONE
9940023110031,VEHICLE REPAIR WORKSHOP AND PREMISES,"£50,500.00",Flora-Bana Ltd,29/07/2025,Unit 2 At,231 Colney Hatch Lane,London,,,N11 3DG,29/07/2025,3 MONTHS
4600090210178,OFFICES AND PREMISES,"£30,250.00",Foframe Properties Ltd,01/04/2005,2nd Floor Rear,35-37 Brent Street,London,,,NW4 2EF,17/08/2018,NONE
28320004010049,OFFICES AND PREMISES,"£3,800.00",REDACTED,14/02/2005,40b Manor Road,Barnet,Hertfordshire,,,EN5 2JQ,14/02/2005,NONE
35580000010114,OFFICES AND PREMISES,"£2,375.00",Free B Gadgets Limited,01/04/2020,Office 2 Unit E2 Gnd Rear Block E,Queens Road,Barnet,Hertfordshire,,EN5 4DG,01/04/2020,DE-MINIMUS RATEABLE VALUE
22440006410064,OFFICES AND PREMISES,"£9,600.00",FSJM Limited,31/03/2020,1st Flr Right 64-66,High Street,Barnet,Hertfordshire,,EN5 5RU,31/03/2020,LISTED
22440006410083,OFFICES AND PREMISES,"£13,500.00",Fsjm Limited,04/06/2022,1st & 2nd Flr Left 64-66,High Street,Barnet,Hertfordshire,,EN5 5SJ,04/06/2022,LISTED
3636002981005B,OFFICES AND PREMISES,"£38,500.00",Fusion Consulting Group Ltd,21/04/2023,Gnd Fl Left Marlborough House,298 Regents Park Road,London,,,N3 2SZ,18/08/2022,NONE
16741000110049,STORE AND PREMISES,"£3,100.00",Galazio (clerical Services) Ltd,01/03/2002,R/o 1 The Broadway,Friern Barnet Road,London,,,N11 3DT,01/03/2002,INDUSTRIAL
11800004300014,WAREHOUSE AND PREMISES,"£22,750.00",Game Time Play Time Ltd,02/02/2020,43 Daws Lane,London,,,,NW7 4SD,01/06/2025,NONE
16743000100014,CLUB AND PREMISES,"£4,900.00",Geo Group Property Investments Ltd,16/11/2023,Flat 1 St Johns Buildings,1 Friern Barnet Road,London,,,N11 3DP,16/11/2023,NONE
18180011510025,SHOP AND PREMISES,"£20,250.00",GGR 115A LTD,01/09/2018,115a Golders Green Road,London,,,,NW11 8HR,03/01/2019,NONE
2240007281002B,STORE AND PREMISES,"£11,000.00",Golden Brick Property Solutions Ltd,20/08/2021,R/o,728 High Road,London,,,N12 9QD,28/10/2022,NONE
11040037210063,SHOP AND PREMISES,"£3,100.00",Greatland Property Management Ltd,01/05/2025,372e Cricklewood Lane,London,,,,NW2 2QJ,01/05/2025,NONE
10960000210078,OFFICES AND PREMISES,"£1,375.00",Greenbrook Holdings Limited,25/09/2024,2nd Floor Office 5,2 The Crest,London,,,NW4 2HN,01/04/2023,DE-MINIMUS RATEABLE VALUE
21860037320009,PUBLIC HOUSE AND PREMISES,"£48,700.00",Greene King Brewing & Retailing Ltd,01/11/2004,Hendon Ale & Wine House,373-377 Hendon Way,London,,,NW4 3LP,27/10/2023,NONE
18460000230041,OFFICES AND PREMISES,"£12,750.00",Greene King Retailing Limited,18/06/2022,Front Left Senator House,2 Graham Road,London,,,NW4 3HE,18/06/2022,NONE
4600005910057,CAR PARKING SPACE AND PREMISES,"£1,200.00",Greyclyde Investments Limited,24/12/2018,Car Spaces,59A Brent Street,London,,,NW4 2EA,09/03/2022,DE-MINIMUS RATEABLE VALUE
4600005910004,OFFICES AND PREMISES,"£3,850.00",Greyclyde Investments Limited,24/12/2018,Grd Flr Right,59A Brent Street,London,,,NW4 2EA,24/12/2018,NONE
4600005910042,OFFICES AND PREMISES,"£11,500.00",Greyclyde Investments Limited,24/12/2018,1st Flr,59A Brent Street,London,,,NW4 2EA,24/12/2018,NONE
37881000300013,SHOP AND PREMISES,"£18,500.00",Greyclyde Investments Limited,25/03/2020,3 Exchange Buildings,High Street,Barnet,Hertfordshire,,EN5 5SY,25/03/2020,NONE
12800090220008,OFFICES AND PREMISES,"£35,500.00",Greyclyde Investments Limited,29/09/2023,Activas House,2 Dollis Mews,London,,,N3 1HH,29/09/2023,NONE
40860022600015,SHOP AND PREMISES,"£26,750.00",Ground Rent Trading Limited,26/02/2025,226 Station Road,Edgware,,,,HA8 7AU,20/06/2023,NONE
4520000010477,SHOP AND PREMISES,"£230,000.00",Hammerson (brent Cross) Limited,11/08/2025,Unit W13 Frnt,Brent Cross Regional Shopping Centre,London,,,NW4 3FB,11/08/2025,3 MONTHS
34920000010053,WORKSHOP AND PREMISES,"£29,250.00",Hammerson (brent Cross) Limited,30/06/2025,Paint Chip Adj To Unit L1,Prince Charles Drive,London,,,NW4 3RW,30/06/2025,INDUSTRIAL
4520000010161,ADVERTISING RIGHT AND PREMISES,"£20,000.00",Hammerson (brent Cross) Limited,01/04/2024,JC Decaux Digital ADV Right 8004,O/S Level 3 Car Park,Brent Cross Regional Shopping Centre,London,,NW4 3FB,01/04/2024,NONE
0452000011004B,SHOP AND PREMISES,"£515,000.00",Hammerson (brent Cross) Ltd,21/08/2025,Unit V1A,Brent Cross Regional Shopping Centre,London,,,NW4 3FB,21/08/2025,3 MONTHS
4520000010532,SHOP AND PREMISES,"£238,000.00",Hammerson (brent Cross) Ltd,12/12/2024,Unit B5,Brent Cross Regional Shopping Centre,London,,,NW4 3FQ,17/10/2024,NONE
4094000259003A,LAND USED FOR STORAGE AND PREMISES,"£66,500.00",Hendon Goods Yard Village Ltd,31/12/2022,Jemca Car Compound R/o Hendon Statn,Station Road,London,,,NW4 4PN,17/11/2023,NONE
21860039310003,SHOWROOM AND PREMISES,"£40,000.00",Hendon Way Court Limited,07/05/2025,393 And Land To R/o,393-413 Hendon Way,London,,,NW4 3LP,28/08/2025,3 MONTHS
40860021619009,STORE AND PREMISES,£690.00,Highview Property Investment Co Ltd,21/06/2018,Store R/o,216 Station Road,Edgware,,,HA8 7AR,10/05/2019,DE-MINIMUS RATEABLE VALUE
4086001672000B,OFFICES AND PREMISES,"£15,250.00",Highview Property Investment Company Ltd,25/01/2025,Second Floor,HIGHVIEW HOUSE ,165-167 Station Road,Edgware,,HA8 7JU,25/01/2025,NONE
22040000200029,SHOWROOM AND PREMISES,"£31,250.00",Hill Residential Limited,11/06/2021,2-4 Hermitage Lane,London,,,,NW2 2ET,31/03/2023,NONE
32600000010819,OFFICES AND PREMISES,"£1,525.00",HT Alliance Ltd,12/10/2015,Room 224c 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,12/10/2016,DE-MINIMUS RATEABLE VALUE
4600091120001,WAREHOUSE AND PREMISES,"£35,500.00",Huntingdon Foundation Limited(the),16/04/2018,13 Brent Street,London,,,,NW4 2EU,16/04/2018,LISTED
30900039329005,COMMUNICATION STATION AND PREMISES,"£20,000.00",Hutchinson 3G UK Ltd,01/04/2007,Roof Top (n0007) At,Norman Court,Nether Street,London,,N3 1QQ,04/06/2009,SECTION 65 COMMUNICATION STATION
460000229021,OFFICES AND PREMISES,"£17,500.00",Informa Uk Limited,30/11/2023,2nd Flr Right,Unitec House,2 Albert Place,London,,N3 1QB,29/07/2024,NONE
0046000022904B,OFFICES AND PREMISES,"£23,500.00",Informa Uk Limited,30/11/2023,2nd Flr Left,Unitec House,2 Albert Place,London,,N3 1QB,29/07/2024,NONE
460000229036,OFFICES AND PREMISES,"£37,250.00",Informa Uk Limited,30/11/2023,3rd Fl Unitec House 2,Albert Place,London,,,N3 1QB,29/07/2024,NONE
45760000010222,OFFICES AND PREMISES,"£2,550.00",Iridium Assets Ltd - In Liquidation,02/08/2022,Suite U 1st Flr Left,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,03/09/2020,DE-MINIMUS RATEABLE VALUE
2238002220000A,SHOP AND PREMISES,"£14,500.00",J Davies Charities Limited,25/04/2025,222 High Road,London,,,,N2 9AY,26/02/2025,NONE
19020090510065,WORKSHOP AND PREMISES,"£6,000.00",JDC Property Management UK Limited,01/07/2024,Unit 9g Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,04/10/2022,INDUSTRIAL
19020090510046,WORKSHOP AND PREMISES,"£8,200.00",JDC Property Management UK Limited,01/05/2025,Unit 9b Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,01/05/2025,INDUSTRIAL
19020090510027,WORKSHOP AND PREMISES,"£12,750.00",JDC Property Management UK Limited,01/05/2025,Unit 9a Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,01/05/2025,INDUSTRIAL
1902009062000B,WAREHOUSE AND PREMISES,"£16,000.00",JDC Property Management UK Limited,16/08/2025,Unit 4,Meadow Works Great North Road,Barnet,Herts,,EN5 1AD,16/08/2025,INDUSTRIAL
1902009052000A,WORKSHOP AND PREMISES,"£17,500.00",JDC Property Management UK Limited,24/07/2025,Unit 9 Meadow Works,Great North Road,Barnet,Hertfordshire,,EN5 1AD,24/07/2025,INDUSTRIAL
36360033100008,BANQUETING SUITE AND PREMISES,"£67,500.00",Jesus House,01/12/2002,331 Regents Park Road,London,,,,N3 1DP,23/04/2024,LISTED
224400007B0002,SHOP AND PREMISES,"£76,000.00",Jetline Travel Limited - post admin,01/04/2025,7b High Street,Barnet,,,,EN5 5UE,01/04/2025,ADMINISTRATION
0516000120001A,SHOP AND PREMISES,"£30,000.00",Jewish Care,01/04/2025,12 The Broadway,London,,,,NW7 3LL,15/02/2024,CHARITY
18180015210025,SHOP AND PREMISES,"£98,000.00",Jewish Learning Exchange Building Limited,28/07/2023,Gnd Flr Front,152-154 Golders Green Road,London,,,NW11 8HE,28/07/2023,CHARITY
460000010057,CAR PARKING SPACE AND PREMISES,"£1,200.00",Joba International London Ltd,01/04/2017,2 Car Spaces For 2nd Lfr Left,Lawford House,Albert Place,London,,N3 1QB,28/04/2022,DE-MINIMUS RATEABLE VALUE
22460005610103,OFFICES AND PREMISES,"£13,750.00",Jubilee Christian Church International (united Kingdom),28/06/2024,Gnd F Elizabeth House,56-58 High Street,Edgware,,,HA8 7ER,30/07/2024,CHARITY
22440020610057,RESTAURANT AND PREMISES,TO BE RATED,Judges Dining Restaurant Ltd,27/01/2025,Gnd Flr,206 High Street,Barnet,Hertfordshire,,EN5 5SZ,27/01/2025,DE-MINIMUS RATEABLE VALUE
880000010205,BUSINESS UNIT AND PREMISES,"£2,850.00",Judy Bould T/a Barnet Artists Assocation,21/06/2021,Unit 2.12,Alston Works,Alston Road,Barnet,Hertfordshire,EN5 4EL,21/06/2021,DE-MINIMUS RATEABLE VALUE
28540004900018,SHOP AND PREMISES,"£21,250.00",K & R Estates Limited,15/03/2024,49 The Market Place Falloden Way,London,,,,NW11 6JT,01/04/2023,NONE
4600012010032,OFFICES AND PREMISES,"£12,000.00",Kirphil Properties Ltd,27/06/2016,First Floor Left,120-122 Brent Street,London,,,NW4 2DT,30/11/2016,NONE
13380013110163,LAND USED FOR CAR SALES,"£16,000.00",Klara Victoria Limited,01/04/2023,131C East Barnet Road,Barnet,Hertfordshire,,,EN4 8RF,01/04/2023,LAND
22420110510052,CAFE AND PREMISES,"£32,000.00",Knightfair Ltd,10/07/2025,Gf Front,1105-1111 High Road,,,,N20 0PU,10/07/2025,3 MONTHS
171600002A001B,OFFICES AND PREMISES,"£18,750.00",Ladnor Developments Limited,01/09/2025,Gnd F Woodgate Studios,2-8 Games Road,Barnet,Hertfordshire,,EN4 9HN,01/09/2025,3 MONTHS
171600002A0025,OFFICES AND PREMISES,"£19,250.00",Ladnor Developments Limited,01/09/2025,1st F Woodgate Studios 2-8,Games Road,Barnet,Hertfordshire,,EN4 9HN,01/09/2025,3 MONTHS
3090000010000A,SHOP AND PREMISES,"£37,500.00",Lazari Investments Limited,29/09/2024,1 Nether Street,London,,,,N12 0GA,29/09/2024,NONE
42100002510175,CAR PARKING SPACE AND PREMISES,£300.00,Lease Held With Liquidator,01/04/2023,Car Parking Space For Unit 2a,The Old Print Works,25 Tapster Street,Barnet,Hertfordshire,EN5 1TU,01/04/2023,DE-MINIMUS RATEABLE VALUE
24503000010181,CAR PARK AND PREMISES,£600.00,Lease Held With Liquidator,01/04/2024,Car Space For Suite C,Pt 9th Flr Hyde House,The Hyde,London,,NW9 6LH,01/04/2024,DE-MINIMUS RATEABLE VALUE
12520002510027,STORE AND PREMISES,"£13,500.00",Lease Held With Liquidator,01/04/2024,R/o,25 Devonshire Crescent,London,,,NW7 1DN,01/04/2024,INDUSTRIAL
35580091120002,WAREHOUSE AND PREMISES,"£21,500.00",Lease Held With Liquidator,01/04/2024,Unit 2 David House,Queens Road,Barnet,Hertfordshire,,EN5 4DJ,21/03/2024,INDUSTRIAL
30560005020097,WORKSHOP AND PREMISES,"£51,000.00",Lease Held With Liquidator,01/04/2024,1st Floor Right,50 Moxon Street,Barnet,,,EN5 5TS,01/04/2024,INDUSTRIAL
45420025410025,SHOP AND PREMISES,"£3,450.00",Lease Held With Liquidator,01/04/2015,254a The Broadway,London,,,,NW9 6AE,01/04/2000,LIQUIDATION
39120000310012,OFFICES AND PREMISES,"£6,400.00",Lease Held With Liquidator,01/04/2023,Front Gnd Fl,3 Shakespeare Road,London,,,N3 1XE,01/04/2023,LIQUIDATION
1582007581001B,STORE AND PREMISES,"£10,500.00",Lease Held With Liquidator,01/04/2025,Rear Of,758 Finchley Road,London,,,NW11 7TH,01/04/2025,LIQUIDATION
2052000960000A,OFFICES AND PREMISES,"£11,000.00",Lease Held With Liquidator,01/04/2025,96 Hamilton Road,London,,,,NW11 9DY,09/11/2022,LIQUIDATION
2650000110022,OFFICES AND PREMISES,"£13,250.00",Lease Held With Liquidator,01/04/2024,1st Fl Unit 1 Bavdene Mews R/o 25-27,The Burroughs,London,,,NW4 4AR,01/04/2024,LIQUIDATION
24503000010177,OFFICES AND PREMISES,"£15,000.00",Lease Held With Liquidator,01/04/2024,Suite C Pt 9th Flr,Hyde House,The Hyde,London,,NW9 6LH,01/04/2024,LIQUIDATION
7520001700016,RESTAURANT AND PREMISES,"£16,000.00",Lease Held With Liquidator,01/04/2025,17 Central Circus,London,,,,NW4 3AS,01/04/2025,LIQUIDATION
1582007780000B,OFFICES AND PREMISES,"£17,500.00",Lease Held With Liquidator,01/04/2025,Office at,778A Finchley Road,London,,,NW11 7TH,17/10/2024,LIQUIDATION
22440019220009,RESTAURANT AND PREMISES,"£17,750.00",Lease Held With Liquidator,01/04/2025,192-194 High Street,Barnet,,,,EN5 5SZ,01/04/2025,LIQUIDATION
22380022000012,SHOP AND PREMISES,"£19,500.00",Lease Held With Liquidator,01/04/2025,220 High Road,London,,,,N2 9AY,01/04/2025,LIQUIDATION
2788000260000A,OFFICES AND PREMISES,"£20,500.00",Lease Held With Liquidator,01/04/2024,26-28 Lytton Road,Barnet,Hertfordshire,,,EN5 5BY,01/04/2024,LIQUIDATION
0220003111010A,OFFICES AND PREMISES,"£27,250.00",Lease Held With Liquidator,01/04/2022,2nd Fl 311,Ballards Lane,London,,,N12 8LY,21/05/2021,LIQUIDATION
13380006500001,WORKSHOP AND PREMISES,"£35,500.00",Lease Held With Liquidator,01/04/2024,65A East Barnet Road,Barnet,Hertfordshire,,,EN4 8RN,01/04/2024,LIQUIDATION
35580000010345,OFFICES WORKSHOP AND PREMISES,"£37,000.00",Lease Held With Liquidator,01/04/2024,Blk A A1 Unit,Queens Road,Barnet,Hertfordshire,,EN5 4DJ,01/04/2024,LIQUIDATION
24500005010985,OFFICES AND PREMISES,"£40,750.00",Lease Held With Liquidator,01/04/2025,Unit 1 Mar House At,50 The Hyde,London,,,NW9 5NP,01/04/2025,LIQUIDATION
2242011381002A,OFFICES AND PREMISES,"£44,000.00",Lease Held With Liquidator,01/04/2024,1st Fl 1138,High Road,London,,,N20 0XX,01/04/2024,LIQUIDATION
9900005010015,CAR SHOWROOM AND PREMISES,"£49,750.00",Lease Held With Liquidator,01/04/2025,Unit 5,50 Colindeep Lane,London,,,NW9 6HE,01/04/2025,LIQUIDATION
22420132720008,RESTAURANT AND PREMISES,"£50,500.00",Lease Held With Liquidator,01/04/2024,1327 High Road,London,,,,N20 9HR,01/04/2024,LIQUIDATION
1382000011903A,STORE AND PREMISES,"£8,200.00",Lease Held With Liquidator,01/04/2024,R/o,1 Edgwarebury Lane,Edgware,,,HA8 8LH,01/04/2024,LIQUIDATION
2240008080000A,SHOP AND PREMISES,"£31,500.00",Lloyds Banking Group PLC,11/04/2024,808 High Road,London,,,,N12 9QU,13/12/2023,NONE
1104001840000A,SHOP AND PREMISES,"£11,500.00",London Borough Barnet,01/08/2025,184 Cricklewood Lane,London,,,,NW2 2DX,01/08/2025,3 MONTHS
4640092120008,WASTE TRANSFER STATION AND PREMISES,"£352,500.00",London Borough Barnet,10/12/2021,Transfer Station,Brent Terrace,London,,,NW2 1LN,10/12/2021,INDUSTRIAL
10000090710025,OFFICES AND PREMISES,"£5,700.00",London Borough Barnet,05/04/2023,R/o Gainsbourough Health Centre,The Concourse,London,,,NW9 5XB,28/10/2017,NONE
10000090720008,HEALTH CENTRE AND PREMISES,"£10,750.00",London Borough Barnet,05/04/2023,Gainsbourough Health Centre,The Concourse,London,,,NW9 5UN,01/11/2017,NONE
10000090020001,SHOP AND PREMISES,"£30,500.00",London Borough Barnet,27/01/2024,Supermarket,The Concourse,London,,,NW9 5XA,27/01/2024,NONE
414200138F0004,BOWLS CLUB AND PREMISES,"£4,050.00",London Borough Of Barnet,01/12/2018,Bishopswood Bowling Club,Summers Lane,London,,,N12 0QD,01/12/2018,NONE
10000001200017,SHOP AND PREMISES,"£5,500.00",London Borough Of Barnet,27/01/2020,12 The Concourse,London,,,,NW9 5XB,27/01/2020,NONE
45660090320002,CLUB HOUSE AND PREMISES,"£6,100.00",London Borough Of Barnet,31/03/2025,Scouts Hut R/o,Westcombe Drive,Barnet,Hertfordshire,,EN5 2BE,31/03/2025,NONE
1000000090000B,SHOP AND PREMISES,"£6,500.00",London Borough Of Barnet,01/10/2021,9 The Concourse,London,,,,NW9 5XB,01/09/2021,NONE
3350000532000A,SURGERY AND PREMISES,"£8,900.00",London Borough Of Barnet,09/07/2019,Clinic,Park Road,London,,,N2 8EX,09/07/2019,NONE
0864000460002A,SHOP AND PREMISES,"£9,800.00",London Borough Of Barnet,30/09/2017,46 Church End,London,,,,NW4 4JX,01/09/2017,NONE
10000090120002,PUBLIC HOUSE AND PREMISES,"£11,200.00",London Borough Of Barnet,20/03/2015,The Hind & Hart,The Concourse,London,,,NW9 5XA,20/03/2015,NONE
0620001321000B,OFFICES AND PREMISES,"£12,250.00",London Borough of Barnet,07/03/2025,132A Burnt Oak Broadway,Edgware,,,,HA8 0BB,01/09/2020,NONE
44140002310001,DAY NURSERY AND PREMISES,"£24,750.00",London Borough Of Barnet,31/07/2019,Nightingale Day Nursery,23 Victoria Road,Barnet,Hertfordshire,,EN4 9PH,19/07/2019,NONE
19680090120005,OFFICES AND PREMISES,"£50,500.00",London Borough Of Barnet,23/04/2024,Church Farm House,Greyhound Hill,London,,,NW4 4JR,23/04/2024,NONE
5480006009013,STORE AND PREMISES,"£2,000.00",London Borough Of Barnet Housing Accountancy,01/04/2000,Bst,60 Brookhill Road,Barnet,Hertfordshire,,EN4 8SL,01/04/2000,INDUSTRIAL
3160003100005,SHOP AND PREMISES,"£8,700.00",London Borough Of Barnet Housing Accountancy,01/03/2021,31 Bell Lane,London,,,,NW4 2BP,01/03/2021,INDUSTRIAL
11040017400001,SHOP AND PREMISES,"£11,250.00",London Borough Of Barnet Housing Accountancy,21/08/2024,174 Cricklewood Lane,London,,,,NW2 2DX,21/08/2024,NONE
45420018719053,STORE AND PREMISES,"£3,700.00",London Borough Of Barnet Property and Valuation Department,14/09/2016,Bst,187 The Broadway,London,,,NW9 7DD,26/06/2000,INDUSTRIAL
1000000100000B,SHOP AND PREMISES,"£6,200.00",London Borough Of Barnet Property and Valuation Department,16/10/2016,10 The Concourse,London,,,,NW9 5XB,16/10/2016,NONE
1180000241001B,HALL AND PREMISES,"£12,000.00",London Borough Of Barnet Property and Valuation Department,07/10/2024,Sea Cadet Training Centre Mill Hill,Park Daws Lane,London,,,NW7 4SL,07/10/2024,NONE
13820090820005,SPORTS GROUND AND PREMISES,"£5,200.00",London Borough Of Barnet Property And Valuation Dept,17/11/2008,Sports Ground,Edgwarebury Lane,Edgware,,,HA8 8QP,01/04/2000,NONE
11080008010009,COMMUNITY CENTRE AND PREMISES,"£9,900.00",London Borough Of Barnet Property And Valuation Dept,01/08/2013,Ground Floor Left Etz,80 Daws Lane,London,,,NW7 4SL,01/08/2013,NONE
11080008010013,TRAINING CENTRE AND PREMISES,"£16,000.00",London Borough Of Barnet Property And Valuation Dept,01/08/2013,Ground Floor Right,80 Daws Lane,London,,,NW7 4SL,01/08/2013,NONE
16680090120007,OFFICES AND PREMISES,"£22,500.00",London Borough Of Barnet Property And Valuation Dept,01/04/2006,Friary House Friary Park,Friary Road,London,,,N12 9PG,01/04/2005,NONE
43080007400003,SHOP AND PREMISES STATE OF DISREPAIR,TO BE RATED,London Spine Unit Limited,08/05/2022,74 Totteridge Lane,London,,,,N20 8QG,08/05/2022,DE-MINIMUS RATEABLE VALUE
